# Id_P lon lat z year month day h m s ws
  52  64.79026  12.94184 -1.5 2017  1  2  1  0  0 0.000
  53  65.18222  11.51604 -1.1 2017  1  2  2  0  0 0.000
  54  64.51225  12.27424 -1.4 2017  1  2  2  0  0 0.000
  55  64.45223  12.64285 -3.8 2017  1  2  3  0  0 0.000
  56  64.88553  11.86397 -2.2 2017  1  2  3  0  0 0.000
  57  65.38921  12.81643 -3.9 2017  1  2  4  0  0 0.000
  58  65.10115  11.91856 -4.6 2017  1  2  4  0  0 0.000
  59  65.24956  12.62624 -2.1 2017  1  2  5  0  0 0.000
  60  64.49133  12.08120 -2.1 2017  1  2  5  0  0 0.000
  61  65.68117  11.30742 -2.7 2017  1  2  6  0  0 0.000
  62  65.35285  11.14117 -3.8 2017  1  2  6  0  0 0.000
  63  64.56527  11.60922 -1.3 2017  1  2  7  0  0 0.000
  64  64.53521  12.33600 -3.1 2017  1  2  7  0  0 0.000
  65  65.23191  11.10491 -4.1 2017  1  2  8  0  0 0.000
  66  64.84452  11.38898 -3.0 2017  1  2  8  0  0 0.000
  67  64.51581  11.15787 -3.3 2017  1  2  9  0  0 0.000
  68  64.81130  11.04467 -3.4 2017  1  2  9  0  0 0.000
  69  64.50379  12.83882 -1.5 2017  1  2 10  0  0 0.000
  70  65.01308  11.44240 -2.5 2017  1  2 10  0  0 0.000
  71  65.03612  11.32413 -1.7 2017  1  2 11  0  0 0.000
  72  64.12361  12.14868 -3.8 2017  1  2 11  0  0 0.000
  73  65.65212  11.22996 -2.2 2017  1  2 12  0  0 0.000
  74  65.41778  12.23923 -2.7 2017  1  2 12  0  0 0.000
  75  65.60248  12.59537 -2.2 2017  1  2 13  0  0 0.000
  76  64.50580  11.23786 -1.4 2017  1  2 13  0  0 0.000
  77  65.48361  12.17340 -4.3 2017  1  2 14  0  0 0.000
  78  64.65824  11.86002 -4.8 2017  1  2 14  0  0 0.000
  79  65.93520  11.66773 -4.5 2017  1  2 15  0  0 0.000
  80  64.78939  12.34286 -3.0 2017  1  2 15  0  0 0.000
  81  65.10652  12.01167 -1.4 2017  1  2 16  0  0 0.000
  82  65.01272  12.04067 -2.9 2017  1  2 16  0  0 0.000
  83  65.45073  11.27867 -1.8 2017  1  2 17  0  0 0.000
  84  64.36991  11.79696 -3.7 2017  1  2 17  0  0 0.000
  85  65.16887  12.70106 -3.2 2017  1  2 18  0  0 0.000
  86  64.19288  12.48853 -3.7 2017  1  2 18  0  0 0.000
  87  65.23123  11.45580 -1.2 2017  1  2 19  0  0 0.000
  88  65.61546  11.48645 -2.3 2017  1  2 19  0  0 0.000
  89  65.32167  11.32491 -4.5 2017  1  2 20  0  0 0.000
  90  65.30134  12.78816 -3.7 2017  1  2 20  0  0 0.000
  91  64.38626  12.46759 -3.8 2017  1  2 21  0  0 0.000
  92  65.14893  12.19431 -4.0 2017  1  2 21  0  0 0.000
  93  64.77908  11.77968 -2.7 2017  1  2 22  0  0 0.000
  94  65.35649  12.51384 -3.1 2017  1  2 22  0  0 0.000
  95  65.49879  12.33494 -1.1 2017  1  2 23  0  0 0.000
  96  65.24202  12.34126 -1.9 2017  1  2 23  0  0 0.000
  97  88.05608  11.26171 -3.3 2017  1  1  0  0  0 0.000
  98  88.19797  11.98549 -1.5 2017  1  1  0  0  0 0.000
  99  87.29429  12.43335 -1.1 2017  1  1  1  0  0 0.000
 100  88.57421  12.47458 -1.9 2017  1  1  1  0  0 0.000
 101  88.37585  11.35957 -3.8 2017  1  1  2  0  0 0.000
 102  88.05226  12.88724 -4.3 2017  1  1  2  0  0 0.000
 103  87.04796  12.13612 -2.9 2017  1  1  3  0  0 0.000
 104  87.80561  11.08377 -1.3 2017  1  1  3  0  0 0.000
 105  87.62173  11.77328 -2.9 2017  1  1  4  0  0 0.000
 106  87.49886  11.30127 -4.8 2017  1  1  4  0  0 0.000
 107  87.51495  12.47213 -2.9 2017  1  1  5  0  0 0.000
 108  87.51759  11.47673 -3.2 2017  1  1  5  0  0 0.000
 109  88.44435  12.48783 -2.4 2017  1  1  6  0  0 0.000
 110  88.82044  11.48266 -4.7 2017  1  1  6  0  0 0.000
 111  87.80998  11.13010 -1.4 2017  1  1  7  0  0 0.000
 112  87.22725  12.39984 -3.9 2017  1  1  7  0  0 0.000
 113  88.64200  11.82658 -4.7 2017  1  1  8  0  0 0.000
 114  87.73113  11.71575 -2.9 2017  1  1  8  0  0 0.000
 115  88.58206  11.86341 -1.7 2017  1  1  9  0  0 0.000
 116  88.70929  12.03757 -3.1 2017  1  1  9  0  0 0.000
 117  88.03688  11.06556 -3.5 2017  1  1 10  0  0 0.000
 118  88.26793  12.72722 -4.4 2017  1  1 10  0  0 0.000
 119  88.34569  12.93333 -4.4 2017  1  1 11  0  0 0.000
 120  88.61056  12.21312 -2.6 2017  1  1 11  0  0 0.000
 121  88.85431  12.20339 -2.5 2017  1  1 12  0  0 0.000
 122  88.50836  11.93578 -4.3 2017  1  1 12  0  0 0.000
 123  87.66565  11.88048 -1.9 2017  1  1 13  0  0 0.000
 124  88.05594  11.36160 -3.9 2017  1  1 13  0  0 0.000
 125  88.50530  11.81650 -1.4 2017  1  1 14  0  0 0.000
 126  87.72117  11.31543 -1.6 2017  1  1 14  0  0 0.000
 127  87.93618  12.43411 -4.6 2017  1  1 15  0  0 0.000
 128  88.96849  11.97452 -2.8 2017  1  1 15  0  0 0.000
 129  87.21971  12.16482 -4.5 2017  1  1 16  0  0 0.000
 130  87.83887  11.36411 -1.2 2017  1  1 16  0  0 0.000
 131  88.11443  11.54899 -3.4 2017  1  1 17  0  0 0.000
 132  87.87606  12.54589 -2.2 2017  1  1 17  0  0 0.000
 133  87.84579  12.12193 -3.8 2017  1  1 18  0  0 0.000
 134  87.28148  12.21635 -3.9 2017  1  1 18  0  0 0.000
 135  87.47379  12.78338 -4.0 2017  1  1 19  0  0 0.000
 136  88.12096  11.85098 -3.1 2017  1  1 19  0  0 0.000
 137  87.52277  11.31212 -1.1 2017  1  1 20  0  0 0.000
 138  87.78706  12.26871 -2.8 2017  1  1 20  0  0 0.000
 139  87.27592  11.72106 -3.4 2017  1  1 21  0  0 0.000
 140  88.15685  12.28024 -1.7 2017  1  1 21  0  0 0.000
 141  87.22086  11.67714 -1.8 2017  1  1 22  0  0 0.000
 142  88.65892  12.08754 -1.0 2017  1  1 22  0  0 0.000
 143  87.16419  12.24012 -1.4 2017  1  1 23  0  0 0.000
 144  88.52350  11.55158 -1.8 2017  1  1 23  0  0 0.000
 145  88.01633  12.88550 -4.4 2017  1  2  0  0  0 0.000
 146  87.94816  11.86906 -4.8 2017  1  2  0  0  0 0.000
 147  87.35533  11.28949 -4.4 2017  1  2  1  0  0 0.000
 148  87.41264  11.52214 -2.7 2017  1  2  1  0  0 0.000
 149  88.07888  11.16523 -2.2 2017  1  2  2  0  0 0.000
 150  88.12431  12.36312 -2.7 2017  1  2  2  0  0 0.000
 151  88.86690  12.27345 -4.8 2017  1  2  3  0  0 0.000
 152  88.84914  11.71478 -1.9 2017  1  2  3  0  0 0.000
 153  87.39184  11.94880 -3.6 2017  1  2  4  0  0 0.000
 154  87.60887  12.37691 -3.2 2017  1  2  4  0  0 0.000
 155  88.25371  12.28844 -3.7 2017  1  2  5  0  0 0.000
 156  87.11403  12.32551 -2.1 2017  1  2  5  0  0 0.000
 157  88.46301  12.44516 -4.1 2017  1  2  6  0  0 0.000
 158  88.29972  12.08769 -1.3 2017  1  2  6  0  0 0.000
 159  88.12197  12.35920 -1.9 2017  1  2  7  0  0 0.000
 160  87.88958  12.08514 -3.8 2017  1  2  7  0  0 0.000
 161  87.75329  12.86852 -3.3 2017  1  2  8  0  0 0.000
 162  87.06510  11.78581 -2.5 2017  1  2  8  0  0 0.000
 163  88.48625  11.70425 -2.9 2017  1  2  9  0  0 0.000
 164  87.02580  11.73157 -2.6 2017  1  2  9  0  0 0.000
 165  88.91838  12.36879 -4.0 2017  1  2 10  0  0 0.000
 166  88.48341  11.40762 -4.3 2017  1  2 10  0  0 0.000
 167  87.07153  12.20775 -3.4 2017  1  2 11  0  0 0.000
 168  87.46229  11.74607 -2.1 2017  1  2 11  0  0 0.000
 169  87.09491  11.69413 -3.6 2017  1  2 12  0  0 0.000
 170  88.17777  12.31220 -3.2 2017  1  2 12  0  0 0.000
 171  88.78956  12.13553 -2.0 2017  1  2 13  0  0 0.000
 172  87.45263  12.80715 -1.8 2017  1  2 13  0  0 0.000
 173  87.41842  11.62375 -1.6 2017  1  2 14  0  0 0.000
 174  87.83911  12.64317 -1.7 2017  1  2 14  0  0 0.000
 175  87.84432  12.83370 -3.1 2017  1  2 15  0  0 0.000
 176  87.13439  11.87370 -1.4 2017  1  2 15  0  0 0.000
 177  87.59582  12.18182 -2.6 2017  1  2 16  0  0 0.000
 178  88.20447  11.97613 -3.1 2017  1  2 16  0  0 0.000
 179  88.02397  12.44191 -2.1 2017  1  2 17  0  0 0.000
 180  87.22855  12.31720 -4.0 2017  1  2 17  0  0 0.000
 181  88.70606  11.36293 -3.8 2017  1  2 18  0  0 0.000
 182  87.89167  12.53335 -1.2 2017  1  2 18  0  0 0.000
 183  88.16419  11.45214 -3.3 2017  1  2 19  0  0 0.000
 184  87.15373  11.81710 -3.3 2017  1  2 19  0  0 0.000
 185  88.27449  12.51200 -1.8 2017  1  2 20  0  0 0.000
 186  87.38605  12.71586 -3.0 2017  1  2 20  0  0 0.000
 187  88.36923  11.96905 -4.1 2017  1  2 21  0  0 0.000
 188  87.24792  12.46102 -3.5 2017  1  2 21  0  0 0.000
 189  88.08967  12.23163 -4.2 2017  1  2 22  0  0 0.000
 190  88.90660  11.85349 -1.6 2017  1  2 22  0  0 0.000
 191  88.49706  11.37952 -1.9 2017  1  2 23  0  0 0.000
 192  87.69107  11.57026 -4.2 2017  1  2 23  0  0 0.000
 193  38.08191 -21.64877 -4.0 2017  1  1  0  0  0 0.000
 194  39.59488 -21.47072 -4.4 2017  1  1  0  0  0 0.000
 195  38.37333 -22.61123 -4.5 2017  1  1  1  0  0 0.000
 196  38.16777 -21.80771 -2.7 2017  1  1  1  0  0 0.000
 197  38.92742 -22.91085 -1.4 2017  1  1  2  0  0 0.000
 198  38.02609 -21.57656 -1.1 2017  1  1  2  0  0 0.000
 199  38.87413 -22.57000 -2.7 2017  1  1  3  0  0 0.000
 200  38.88413 -21.41761 -2.4 2017  1  1  3  0  0 0.000
 201  39.57738 -21.41462 -4.2 2017  1  1  4  0  0 0.000
 202  39.16443 -21.87442 -4.4 2017  1  1  4  0  0 0.000
 203  38.90258 -21.78602 -3.0 2017  1  1  5  0  0 0.000
 204  39.55263 -21.87839 -3.9 2017  1  1  5  0  0 0.000
 205  39.81605 -21.41208 -1.5 2017  1  1  6  0  0 0.000
 206  38.80890 -22.94021 -3.8 2017  1  1  6  0  0 0.000
 207  39.09660 -22.53521 -4.2 2017  1  1  7  0  0 0.000
 208  38.49481 -21.88798 -4.3 2017  1  1  7  0  0 0.000
 209  39.43271 -22.65303 -3.5 2017  1  1  8  0  0 0.000
 210  39.34171 -22.24531 -2.1 2017  1  1  8  0  0 0.000
 211  39.06543 -21.06963 -2.3 2017  1  1  9  0  0 0.000
 212  39.42112 -22.73150 -3.6 2017  1  1  9  0  0 0.000
 213  38.52750 -22.80498 -4.1 2017  1  1 10  0  0 0.000
 214  38.52669 -22.63529 -4.8 2017  1  1 10  0  0 0.000
 215  38.00022 -22.20491 -2.6 2017  1  1 11  0  0 0.000
 216  39.60310 -21.23970 -1.3 2017  1  1 11  0  0 0.000
 217  39.59797 -22.79745 -2.3 2017  1  1 12  0  0 0.000
 218  39.56301 -21.39960 -2.3 2017  1  1 12  0  0 0.000
 219  39.72309 -21.41069 -2.1 2017  1  1 13  0  0 0.000
 220  39.35544 -21.59170 -3.4 2017  1  1 13  0  0 0.000
 221  39.15491 -22.70661 -4.8 2017  1  1 14  0  0 0.000
 222  39.09976 -22.00313 -2.0 2017  1  1 14  0  0 0.000
 223  39.10008 -21.40056 -3.0 2017  1  1 15  0  0 0.000
 224  38.08093 -21.68019 -4.4 2017  1  1 15  0  0 0.000
 225  38.01843 -22.00574 -4.5 2017  1  1 16  0  0 0.000
 226  37.96617 -22.20569 -1.4 2017  1  1 16  0  0 0.000
 227  39.94186 -21.98063 -2.6 2017  1  1 17  0  0 0.000
 228  39.03057 -21.78819 -4.3 2017  1  1 17  0  0 0.000
 229  38.31253 -22.68915 -2.3 2017  1  1 18  0  0 0.000
 230  38.18559 -22.24618 -1.6 2017  1  1 18  0  0 0.000
 231  38.57768 -22.50424 -3.7 2017  1  1 19  0  0 0.000
 232  39.36510 -21.40527 -3.8 2017  1  1 19  0  0 0.000
 233  38.52156 -21.91883 -4.4 2017  1  1 20  0  0 0.000
 234  38.72992 -21.82187 -1.6 2017  1  1 20  0  0 0.000
 235  38.49808 -22.76437 -4.9 2017  1  1 21  0  0 0.000
 236  39.52076 -22.68319 -2.8 2017  1  1 21  0  0 0.000
 237  39.61215 -22.50268 -1.7 2017  1  1 22  0  0 0.000
 238  39.24827 -22.41587 -3.8 2017  1  1 22  0  0 0.000
 239  38.65004 -21.62285 -1.3 2017  1  1 23  0  0 0.000
 240  38.35526 -22.62534 -2.9 2017  1  1 23  0  0 0.000
 241  38.70353 -22.79394 -2.4 2017  1  2  0  0  0 0.000
 242  39.21349 -21.98946 -4.5 2017  1  2  0  0  0 0.000
 243  39.31468 -22.27039 -1.4 2017  1  2  1  0  0 0.000
 244  38.36807 -21.80693 -4.7 2017  1  2  1  0  0 0.000
 245  39.34031 -22.53106 -2.1 2017  1  2  2  0  0 0.000
 246  38.34509 -22.71570 -3.4 2017  1  2  2  0  0 0.000
 247  38.56618 -22.86734 -1.9 2017  1  2  3  0  0 0.000
 248  39.72225 -21.34767 -3.1 2017  1  2  3  0  0 0.000
 249  39.97338 -22.29176 -3.3 2017  1  2  4  0  0 0.000
 250  38.90427 -22.74427 -4.9 2017  1  2  4  0  0 0.000
 251  39.32842 -22.27605 -4.0 2017  1  2  5  0  0 0.000
 252  39.28672 -22.48464 -1.0 2017  1  2  5  0  0 0.000
 253  38.91150 -22.48749 -3.0 2017  1  2  6  0  0 0.000
 254  38.94275 -21.70253 -2.8 2017  1  2  6  0  0 0.000
 255  39.96131 -22.24977 -3.3 2017  1  2  7  0  0 0.000
 256  38.47527 -21.53604 -4.1 2017  1  2  7  0  0 0.000
 257  38.58879 -21.66290 -2.8 2017  1  2  8  0  0 0.000
 258  38.62047 -21.86191 -2.0 2017  1  2  8  0  0 0.000
 259  39.16782 -22.89365 -3.0 2017  1  2  9  0  0 0.000
 260  39.08431 -22.03070 -2.5 2017  1  2  9  0  0 0.000
 261  39.27180 -22.12295 -3.3 2017  1  2 10  0  0 0.000
 262  38.82640 -22.85042 -4.1 2017  1  2 10  0  0 0.000
 263  38.94237 -21.35534 -4.5 2017  1  2 11  0  0 0.000
 264  38.41980 -22.03042 -1.3 2017  1  2 11  0  0 0.000
 265  39.35525 -22.23559 -2.4 2017  1  2 12  0  0 0.000
 266  38.06720 -22.05002 -3.3 2017  1  2 12  0  0 0.000
 267  39.43249 -21.14557 -4.5 2017  1  2 13  0  0 0.000
 268  39.27718 -22.37838 -5.0 2017  1  2 13  0  0 0.000
 269  39.04489 -22.03495 -4.3 2017  1  2 14  0  0 0.000
 270  38.33061 -22.46954 -4.0 2017  1  2 14  0  0 0.000
 271  39.88756 -22.20496 -4.2 2017  1  2 15  0  0 0.000
 272  38.21500 -21.61064 -4.1 2017  1  2 15  0  0 0.000
 273  38.72830 -22.59591 -1.1 2017  1  2 16  0  0 0.000
 274  39.65059 -21.52133 -1.2 2017  1  2 16  0  0 0.000
 275  38.67107 -21.31781 -1.7 2017  1  2 17  0  0 0.000
 276  37.98435 -22.04388 -1.2 2017  1  2 17  0  0 0.000
 277  39.57172 -22.05120 -3.5 2017  1  2 18  0  0 0.000
 278  38.89655 -21.93439 -1.4 2017  1  2 18  0  0 0.000
 279  39.54601 -21.90569 -4.2 2017  1  2 19  0  0 0.000
 280  38.64762 -21.70541 -4.5 2017  1  2 19  0  0 0.000
 281  38.34583 -21.30967 -1.4 2017  1  2 20  0  0 0.000
 282  39.60680 -22.23364 -3.4 2017  1  2 20  0  0 0.000
 283  38.63545 -21.14416 -2.2 2017  1  2 21  0  0 0.000
 284  38.00067 -21.83557 -3.3 2017  1  2 21  0  0 0.000
 285  38.10833 -21.59611 -4.7 2017  1  2 22  0  0 0.000
 286  39.80531 -21.87535 -4.3 2017  1  2 22  0  0 0.000
 287  39.35584 -22.92148 -1.5 2017  1  2 23  0  0 0.000
 288  39.75634 -22.25667 -3.6 2017  1  2 23  0  0 0.000
